PosX,PosY,LKHD DIST,lookAheadX,lookAheadY,left,right,ONLAST,INDEX,VEL
-4.36232,-24.0737,10,-3.95278,-34.0653,37.2568,30.7276,0,198,7.11931
-4.32857,-24.3564,10,-3.94586,-34.3491,33.3461,27.6268,0,199,6.38507
-4.29939,-24.6101,10,-3.93966,-34.6036,33.2843,27.6886,0,199,6.38507
-4.27121,-24.8639,10,-3.93214,-34.8582,33.2173,27.7556,0,199,6.38507
-4.24401,-25.1178,10,-3.9239,-35.1127,33.1474,27.8255,0,199,6.38507
-4.21777,-25.3718,10,-3.91565,-35.3673,33.0775,27.8954,0,199,6.38507
-4.19245,-25.6259,10,-3.90741,-35.6219,33.0078,27.9651,0,199,6.38507
-4.16805,-25.8801,10,-3.89844,-35.8765,28.6059,24.3513,0,200,5.54567
-4.14756,-26.1009,10,-3.88939,-36.0976,28.548,24.4092,0,200,5.54567
-4.12773,-26.3218,10,-3.88034,-36.3188,28.4906,24.4666,0,200,5.54567
-4.10852,-26.5428,10,-3.87129,-36.54,28.4338,24.5235,0,200,5.54567
-4.08993,-26.7638,10,-3.86224,-36.7612,28.3775,24.5798,0,200,5.54567
-4.07193,-26.9848,10,-3.85208,-36.9824,28.3183,24.639,0,200,5.54567
-4.05451,-27.2059,10,-3.84102,-37.2037,28.257,24.7002,0,200,5.54567
-4.03765,-27.4271,10,-3.82996,-37.4249,28.1966,24.7606,0,200,5.54567
-4.02132,-27.6483,10,-3.81889,-37.6462,23.0452,20.3283,0,201,4.54206
-4.00834,-27.8295,10,-3.80983,-37.8275,23.0061,20.3674,0,201,4.54206
-3.9957,-28.0107,10,-3.79972,-38.0087,22.9648,20.4087,0,201,4.54206
-3.98339,-28.1919,10,-3.7889,-38.19,22.9223,20.4512,0,201,4.54206
-3.97139,-28.3731,10,-3.77808,-38.3713,22.8805,20.493,0,201,4.54206
-3.95971,-28.5544,10,-3.76726,-38.5526,22.8394,20.534,0,201,4.54206
-3.94832,-28.7357,10,-3.75644,-38.7339,22.7991,20.5744,0,201,4.54206
-3.93721,-28.917,10,-3.74557,-38.9152,22.7593,20.6142,0,201,4.54206
-3.92638,-29.0983,10,-3.73288,-39.0965,22.7155,20.6579,0,201,4.54206
-3.91582,-29.2797,10,-3.72019,-39.2778,16.0868,14.6878,0,202,3.22272
-3.90848,-29.4084,10,-3.71119,-39.4064,16.0658,14.7089,0,202,3.22272
-3.90127,-29.537,10,-3.70219,-39.5351,16.045,14.7297,0,202,3.22272
-3.89417,-29.6657,10,-3.69318,-39.6637,16.0245,14.7501,0,202,3.22272
-3.8872,-29.7944,10,-3.68418,-39.7924,16.0044,14.7703,0,202,3.22272
-3.88033,-29.9231,10,-3.67486,-39.921,15.984,14.7907,0,202,3.22272
-3.87357,-30.0518,10,-3.66445,-40.0496,74.4365,69.0782,0,204,15.0288
-3.84344,-30.6521,10,-3.61586,-40.6495,72.7477,68.4227,0,205,14.7833
-3.81579,-31.2427,10,-3.56349,-41.2395,72.2826,68.8878,0,205,14.7833
-3.78973,-31.8333,10,-3.50811,-41.8294,70.6516,68.1959,0,206,14.5401
-3.76529,-32.4143,10,-3.4471,-42.4092,70.204,68.6434,0,206,14.5401
-3.74166,-32.9953,10,-3.38192,-42.9888,68.6106,67.9356,0,207,14.2991
-3.71887,-33.5667,10,-3.31421,-43.5585,68.2038,68.3425,0,207,14.2991
-3.69618,-34.1381,10,-3.23865,-44.1277,66.6467,67.6202,0,208,14.0604
-3.67366,-34.7,10,-3.15994,-44.6868,66.2482,68.0187,0,208,14.0604
-3.6506,-35.2618,10,-3.07675,-45.2453,64.7555,67.2542,0,209,13.824
-3.6271,-35.8142,10,-2.98672,-45.7937,64.3658,67.6439,0,209,13.824
-3.60249,-36.3665,10,-2.89102,-46.3411,62.8995,66.8752,0,210,13.59
-3.57692,-36.9094,10,-2.79155,-46.8785,62.5387,67.236,0,210,13.59
